 6773 0.089300 5.0000e-04 8.1697e-04 6.2800e-05 -0.072800 0.027900 0.090400 0.156200 53678.492188 0.140000 18.354500 0.080400 -1.1500e-06 -1.3400e-06 7.5800e-04 221 31 1.5300e-30 49.349998 49.349998 29.330000 1 120 0.136600 -9.532692 22.550652 
SN: 17186 0.078500 0 4.6774e-04 1.7600e-05 0.101000 0.024800 0.573700 0.168000 54353.808594 0.220000 18.959999 0.040000 -1.1100e-06 -2.9900e-07 5.7400e-05 49.400002 36 0.067400 51.689999 37.430000 36.180000 1 120 0.035100 -6.856541 39.351463 
 03D3ba 0.291200 0.001000 3.8536e-05 1.4800e-06 0.102600 0.037900 0.756500 0.158400 52749.304688 0.440000 21.670300 0.041000 -6.0700e-09 -4.3800e-08 -0.001170 17.500000 9 0.040900 139.580002 120.680000 11.470000 4 0 0.012800 -14.571482 36.513504 
 04D1ow 0.915000 0.001000 4.3024e-06 1.7900e-07 -0.170500 0.048900 -0.014600 0.336800 53311.710938 0.380000 24.050699 0.044200 -3.0400e-08 1.7200e-09 0.004450 45.500000 44 0.408000 28.900000 19.559999 12.210000 4 0 0.026500 -13.144104 41.029362 
 04D3nq 0.220000 0.001000 9.1867e-05 2.3900e-06 -0.014100 0.025200 0.575800 0.104200 53189.792969 0.100000 20.727100 0.027900 -5.8900e-08 -4.5700e-08 -7.4500e-05 5.500000 18 0.998000 445.109985 414.429993 287.940002 4 0 0.009700 -11.857417 31.521168 
 SN: 06D3em 0.690000 0.001000 4.0938e-06 1.3000e-07 0.156700 0.045700 0.013900 0.369600 53881.734375 0.550000 24.104700 0.034000 -2.0600e-08 -8.5500e-10 0.002300 34.299999 41 0.761000 22.110001 19.850000 13.180000 4 0 0.010500 -13.269043 36.442032 
 04D2al 0.836000 0.001000 4.3415e-06 2.8500e-07 -0.107100 0.088700 -1.222900 1.015100 53034.406250 1.370000 24.040899 0.069000 5.3400e-08 1.1600e-08 0.058700 9.100000 13 0.766000 22.809999 19.110001 1.670000 4 0 0.017000 -7.040792 43.514935 
 04D1qd 0.767000 0.001000 4.6575e-06 1.4400e-07 0.033400 0.050900 0.274000 0.272200 53329.503906 0.380000 23.964600 0.033200 -1.7700e-08 -1.1000e-09 0.003360 32.500000 32 0.442000 24.549999 15.570000 15.270000 4 0 0.028000 -10.257948 34.410809 
 05D4hn 0.842000 0.001000 4.8893e-06 2.3800e-07 0.073700 0.070500 1.438800 0.828900 53693.945312 0.790000 23.911900 0.051500 -1.3100e-07 -2.4100e-09 0.027000 14.100000 18 0.725000 27.200001 18.360001 13.550000 4 0 0.028700 -15.025583 8.297401 
 06D3en 1.060000 0.001000 3.1053e-06 2.3800e-07 -0.181000 0.057700 -1.087100 0.380300 53881.648438 0.860000 24.404800 0.080200 -2.5600e-08 7.9600e-09 0.005570 28.100000 35 0.791000 14.420000 8.830000 6.330000 4 0 0.011100 -14.727606 29.938278 
 03D4ag 0.285000 0.001000 7.1472e-05 2.2800e-06 -0.070700 0.024200 0.901400 0.146800 52830.800781 0.120000 20.999701 0.034000 -1.5500e-07 -3.4600e-08 -3.8600e-04 15.900000 25 0.919000 225.470001 141.550003 112.269997 4 0 0.025800 -14.187397 43.266399 
 06D4co 0.437000 0.001000 2.2689e-05 5.4400e-07 -0.050500 0.022900 -0.348200 0.105000 53940.210938 0.190000 22.245501 0.025700 -5.8500e-09 -8.4400e-09 -1.1100e-04 48.099998 45 0.349000 99.959999 99.230003 70.120003 4 0 0.025900 -13.716855 41.878567 
 05D3dd 0.480000 0.001000 1.5476e-05 3.7200e-07 -0.044100 0.024300 -0.235900 0.128400 53455.230469 0.130000 22.660801 0.025800 -2.0700e-08 -6.0400e-09 2.5100e-04 38.799999 43 0.655000 103.370003 62.849998 57.770000 4 0 0.009400 -9.932400 43.316650 
 04D1ak 0.526000 0.001000 8.1036e-06 3.7400e-07 0.020000 0.057300 -1.813800 0.329800 53010.507812 0.320000 23.363300 0.049000 -5.7400e-08 -3.4200e-10 2.0000e-04 11.100000 15 0.743000 34.369999 31.290001 5.950000 4 0 0.025600 -13.266509 10.375774 
 06D4dh 0.303000 0.001000 6.0883e-05 1.6500e-06 -0.154700 0.022000 0.501900 0.080400 53956.800781 0.080000 21.173800 0.029100 -4.2700e-08 -2.6800e-08 1.3200e-04 42.299999 37 0.253000 208.380005 151.919998 138.460007 4 0 0.026200 -13.290909 33.455181 
 03D3bh 0.248600 0.001000 8.7297e-05 5.0900e-06 -0.377400 0.031700 -5 0.033100 52783.242188 0.050000 20.782499 0.061600 -4.3800e-12 -5.7000e-08 2.5700e-09 47.500000 8 1.2300e-07 90.720001 81.550003 60.770000 4 0 0.010100 5.730796 27.298702 
 05D4cn 0.763000 0.001000 5.4741e-06 1.6600e-07 0.006400 0.052500 1.146700 0.267700 53583.511719 0.410000 23.789200 0.032400 -1.7600e-08 2.7800e-10 0.001120 90.800003 49 2.6600e-04 41.200001 25.730000 13.090000 4 0 0.025900 -14.175700 40.168369 
 06D3gh 0.720000 0.001000 6.3030e-06 2.5100e-07 -0.027000 0.043800 0.408600 0.386300 53922.996094 0.400000 23.636101 0.042500 -5.7000e-08 4.1500e-10 0.003900 15.800000 19 0.670000 23.760000 18 8.960000 4 0 0.008600 -9.707570 11.808599 
 04D3nr 0.960000 0.001000 3.4366e-06 1.9800e-07 0.007300 0.052900 0.204300 0.511200 53185.746094 0.620000 24.294701 0.060700 -5.9300e-08 3.9500e-09 0.001270 27.799999 20 0.113000 17.080000 15.470000 13.600000 4 0 0.009400 -10.417222 21.685776 
